reviewer_id,rating,title,text,date,review_url
1,5,Kompetente Ansprechpartner in der Stadtsparkasse Dessau,Kompetente Ansprechpartner in der Sparkasse,2026-01-07,https://de.trustpilot.com/reviews/695e7754570b9ba5fbea84c0
2,1,ich nehme Bezug auf meine juengsten…,"ich nehme Bezug auf meine juengsten Erfahrungen mit Ihrem telefonischen Beratungsservice und sehe mich gezwungen, meine tiefe Unzufriedenheit auszudruecken.​Als Kunde einer Rechtsschutzversicherung erwarte ich in einer rechtlichen Notsituation eine fundierte, fachanwaltliche Erstberatung. Stattdessen war die Qualitaet der Gespraeche katastrophal. Mein Eindruck war, dass ich nicht mit qualifizierten Juristen verbunden wurde, sondern mit studentischen Hilfskraeften oder Personal ohne tiefergehende Fachkenntnisse. Die Auskuenfte waren oberflaechlich, wenig hilfreich und entsprachen in keiner Weise dem Standard, mit dem die OeRAG (MEINRECHT) wirbt.​Darueber hinaus ist der allgemeine Kundenservice schwer erreichbar und wirkt in der Bearbeitung meiner Anliegen wenig professionell. Dass man als Versicherungsnehmer in schwierigen Momenten derart allein gelassen wird, ist fuer mich inakzeptabel.​Ich fordere Sie hiermit auf, die Qualitaet Ihres Telefon-Services sowie der rechtlichen Erstberatung umgehend zu pruefen. Ich behalte mir vor, meinen Vertrag aufgrund des gestoerten Vertrauensverhaeltnisses zum naechstmoeglichen Zeitpunkt zu kuendigen und den Vorgang dem Versicherungsombudsmann zu melden.​Mit enttaeuschten Gruessen,",2025-02-04,https://de.trustpilot.com/reviews/695e3ca8170d2dc403f4639e
3,5,Schnelle Freigabe,"Schnelle Freigabe, kulante Bearbeitung",2025-10-15,https://de.trustpilot.com/reviews/695bde0a54cbbcc82fa9f945
4,5,Super Service,Superschnellel Passwortaenderung,2026-01-05,https://de.trustpilot.com/reviews/695bd1e17a314da19fa3c350
5,1,Laesst die Frist verstreichen und hilft nicht weiter,"Nach 3 Jahren Mitgliedschaft meldete ich meinen ersten Schadenfall. Es wurden mehrfach dieselben Informationen angefragt. Ich habe sie immer noch am gleichen Tag geliefert. Trotzdem bekam ich weder eine Rueckmeldung noch eine Eingangsbestaetigung. Erst als ich auf den Fristablauf hinwies, erhielt ich – basierend auf einem Fakt, den ich bereits bei der initialen Schadensmeldung (!) ca. 2 Wochen davor mitgeteilt hatte – die Ablehnung – 2 Tage vor Fristablauf. Den Sachverhalt konnte ich dadurch nicht mehr anders bearbeiten, so dass ich die nachteiligen Rechtsfolgen akzeptieren musste. Besser ich kuemmere mich alleine um rechtliche Angelegenheiten, als durch falsche Hoffnung Fristen nicht mehr einhalten zu koennen und nachteilige Rechtsfolgen akzeptieren zu muessen.",2025-12-12,https://de.trustpilot.com/reviews/69594a1ef436708368a81b02
6,5,Schnelle und glasklare Kommunikation,"Schnelle und glasklare Kommunikation, zahlreiche Rechtsservices fuer das taegliche Leben!",2026-01-02,https://de.trustpilot.com/reviews/6957908c125e14375601f46a
7,5,Schnelle und gute Bearbeitung,Sehr schnelle und gute Bearbeitung der Schadensmeldungen. Insgesamt gute Rechtsschutzversicherung.,2026-01-02,https://de.trustpilot.com/reviews/695784b4d25fd5b5494ccfa4
8,1,MeinRecht nur eine Floskel,"Seit fast 10 Jahren bei der OeRAG rechtsschutzversichert und nun zum ersten Mal eine Anwaeltin konsultiert, da vom Dienstherrn mehrere Schreiben wegen einer laengerfristigen Erkrankung eingingen. Ein Zurruhesetzungsverfahren stand im Raum.Die Erstberatung wurde nicht uebernommen mit der Begruendung, es liege kein Streitfall vor. Auch alle weiteren moeglichen Folgeschritte stehen laut OeRAG unter demselben Vorbehalt.Fuer mich absolut unverstaendlich und enttaeuschend. Guenstigere Rechtsschutzversicherer uebernehmen die Erstberatung grundsaetzlich.Klare Empfehlung: Abstand halten.Die Kuendigung wird aktuell erstellt.",2025-12-10,https://de.trustpilot.com/reviews/69529eccdd584ccac3ea4f54
9,2,Die Eingabe des Geburtsdatums,"Die Eingabe des Geburtsdatums ist eine Katastrophe. Warum kann man dsd Geburtsdatum nicht per Zahlen eingeben, sondern muss im Kalender 77 Jahre zurueckscrollen, um zu seinem Geburtsdatum zu kommen?",2025-12-28,https://de.trustpilot.com/reviews/69515c6015d2ade836054d91
10,1,OeRAG unfaehig eine Kuendigungsbestaetigung zu versenden,"Eine mit Sicherheit der schlechtesten Rechtsschutzversicherung Deutschlands:Kundenberatung Note 6Kundenbetreuung Note 6 minusDas Unternehmen ""Oerag"" ist eine einzige farce.Seit dem 27.11.25 habe ich per Telefon und schriftlich insgesamt 5 maliger Erinnerung per Email die Kuendigung meiner Rechtsschutzversicherung bei die OeRAG eingereicht.Bis heute habe ich weder Antwort noch Bestaetigung meiner Kuendigung bekommen!Seit 27 11.25 heisst es die Kuendigung ist eingegangen, aber wird einfach seit Wochen!!! nicht bearbeitet.Eine Schande deutscher Unternehmenskultur!Absolute Katastrophe und eine Frechheit.Ich kann nur jedem abraten sich dort versichern. Versicherungswert = 0 !Auch hier bei Tmtrustpilot zeigt sich, wie unserioes dieses Unternehmen arbeite u d NICHT mit all den gerechtfertigten Beschwerden auseinandersetzt:Wie jeder hier sieht, antwortet die OeRAG groesstenteils nur auf positive Bewertung, auf die waren Zustaende die dieses Unternehmens beschreiben, gibt es keine Antworten...VORSICHT!!!",2025-11-27,https://de.trustpilot.com/reviews/694e982167fdae72393d9891
11,2,Die Digitalisierung ist bei Ihnen noch…,"Die Digitalisierung ist bei Ihnen noch nicht angekommen.Meine email-Adresse hatten Sie angeblich nicht, obwohl man sich mit der email-Adresse in mein recht.de einloggen muss.Ich moechte keine Briefpost mehr erhalten - nur entweder als mail oder in mein Postfach in mein recht.de. Wozu hat man ein Postfach, wenn man immer noch Briefe schickt?",2025-12-23,https://de.trustpilot.com/reviews/694a794907457f643dcdfeb7
12,3,"Na ja, geht so","Mit der Oerag habe ich bis auf eineAusnahme keine so guten Erfahrungen gemacht. Telefonisch schnippische Mitarbeitende, wenig kooperativ. Bei Anfragen koennenkeine Dateianhaenge mit geschickt werden. Die Informationen auf der Internetseite kommen bei mir als sehr abwehrend und nicht sehr kundenorientiert herueber.",2025-12-19,https://de.trustpilot.com/reviews/69457734dd343d2fff1b3a31
13,1,Sehr schlechtes Unternehmen (abzocke),"Sehr schlechtes Unternehmen, macht Rechtschutz konnte mir aber bei allen 3 Faellen nicht weiter helfen. Wozu Zahl ich da Beitraege wenn die Faelle nicht im Service Angebot abgedeckt sind. Einfach unprofessionell, der Support hilft auch nicht liefert zudem patzige Antworten. Niewieder.",2025-12-01,https://de.trustpilot.com/reviews/69442160c0413f9787d9c77e
14,1,Sogar der eine Stern ist schon…,Sogar der eine Stern ist schon uebertrieben. Wer keine anderen Hobbys hat zahlt den Betrug!!! aber mehr darf man nicht erwartet.Wie kann das sein das sowas ueberhaupt existiert und nicht Verboten ist.Vor allem die Ki Bots und Schreiberlinge die versuchen die Bewertung noch aufrecht zuhalten.Wenn das lesen wie zufrieden die Leute sind. alles nur Inszenierung nix davon ist Wirklichkeit.,2025-12-15,https://de.trustpilot.com/reviews/6940007795f3bf674874d004
15,5,"OeRAG-unkompliziert, schnell und preiswert",Antragstellung und Versicherungsbestaetigung sowie Versand der Versicherungsunterlagen - alles verlief reibungslos. Der Tarif ist preiswert.,2025-12-10,https://de.trustpilot.com/reviews/6939875bc81e43a917e8cfeb
16,5,Bin rundum zufrieden,Bin rundum zufrieden. Gott sei dank brauchte ich die Versicherung nicht allzu haeufig aber das Anliegen was ich hatte wurde komplett von Anfang bis Ende uebernommen und ich wurde top beraten,2025-04-30,https://de.trustpilot.com/reviews/69396bf794cec5bb12d32444
17,5,Schnelle und erfolgreiche Bearbeitung…,Schnelle und erfolgreiche Bearbeitung meines Anliegens.,2025-12-10,https://de.trustpilot.com/reviews/69394f9bfd45a39367ad6049
18,1,halten die Zusage einer Uebernahme nicht ein,"Ich habe meine Rechtsschutzversicherung jahrelang bezahlt – in der Hoffnung, im Ernstfall gut abgesichert zu sein.Doch als ich sie im Rahmen einer Kuendigung im Sommer 2025 brauchte, wurde ich enttaeuscht.Die Oerag will trotz Zusage der Uebernahme die RA-Rechnung bis heute (Dez.) nicht bezahlen.Mein Anwalt war kulant und verzichtete auf Gebuehren, reduzierte den Streitwert und die Rechnung.Die Versicherung kuerzte die Kostenuebernahme nochmals nach interner Regelung.Das entbehrt jeder Rechtsgrundlage.Der RA will nun die Differenz von mir. Er hat seinen Job korrekt gemacht.Am Ende bleibe ich als Arbeitslose auf Kosten sitzen.Statt Einhaltung der Zusage der Kostenuebernahme gibt es monatelang juristische Spitzfindigkeiten, so dass selbst der RA aufgibt. Und die Oerag ist gegenueber mir kaltschnaeuzig und frech am Telefon.Ich bin frustriert, finanziell doppelt geschaedigt durch Kuendigung des AG und die Oerag.Ich habe gekuendigt und kann es nun allen anderen empfehlen, die bei der Oerag noch versichert sind.",2025-12-09,https://de.trustpilot.com/reviews/6938623ec31893ea0de9a556
19,5,Sehr guter Service,Sehr guter Service und gut ueberschaubare App,2025-12-09,https://de.trustpilot.com/reviews/6937e21e43c743c4d0faf542
20,1,Nach einem Verkehrsdelikt in England…,"Nach einem Verkehrsdelikt in England bekam ich ca. 2 Monate spaeter eine Zahlungsaufforderung.Auf Grund des spaeten Eingangs der Zahlungsaufforderung waren die Zahlungsfristen laengst ueberschritte. Da ich kein Risiko eingehen wollte habe ich mich an die OeRAG gewandt.Die mir von der OeRAG mehrfach empfohlenen Rechtsanwaelte haben alle abgelehnt, da England nicht mehr EU-Recht sei.Beim naechsten telefonischen Kontakt mit der OeRAG und der Bitte mir einen zustaendigen Rechtsanwalt zu nennen wurde dies lapidar abgelehnt.„Man bezahle die Rechtsberatung, aber einen Rechtsanwalt solle ich mir selbst uebers Internet in England suchen.“Ich habe zum naechstmoeglichen Termin gekuendigt!",2025-06-18,https://de.trustpilot.com/reviews/69370569c38d839d74de458c
21,5,Mein Recht darauf ist Verlass,Ich kann nur sagen sehr schnell in der Korrespondenz und alles problemlos. Sehr empfehlenswert,2025-12-01,https://de.trustpilot.com/reviews/693314f0a60724493e449757
22,5,Zuverlaessiger Partner,"Ich bin voll uns ganz zufrieden. Mein Anliegen wird zuverlaessig bearbeitet. Ich kann nicht ""klagen"" ;-)",2025-12-04,https://de.trustpilot.com/reviews/6931786f1966d90e967bc67b
23,1,pile of poo pile of poo pile of poo pile of poo,Totale Schrott von der Versicherung!!!,2025-12-02,https://de.trustpilot.com/reviews/692f268d5b30fc6f694971ca
24,3,(Keine) Kostenuebernahme einer Rechtsberatung,"Als langjaehrig Versicherter musste ich leider hinnehmen, dass die Oerag die Rechtsberatung einer Fachanwaeltin nicht uebernahm. Die Kosten von rund 200 Euro waren relativ gering. Damit wurde ein viel kostspieliger Prozess vermieden, den sie dann gezahlt haette. Diese Logik verstehe ich nicht.Update: Nach einem Brief an die Oerag cc socialmedia wurde doch bezahlt. Immerhin. Warum dann nicht sofort? 1 Stern gibt es mehr. Das Vertrauen ist aber gestoert.",2025-11-28,https://de.trustpilot.com/reviews/692f24d189cf2def3eddbf5d
25,1,Privat und gewerblich bei denen…,Privat und gewerblich bei denen versichert..(bald nicht mehr) man kann sich nicht mal verteidigen lassen weil alles abgelehnt wird..selbst info gespraech muste ich selber zahlen wofuer dann 50 euro im Monat ?,2025-12-02,https://de.trustpilot.com/reviews/692f1b769ffc66a471ebe449
26,1,Unserioes,"Rechtschutzversicherung am 17.11.2025 fristgerecht zum 31.12.2025 gekuendigt.Jetzt versuchen diese Nepper Schlepper Bauernfaenger mir Kuendigung zum 01.01.2026 unterjubeln.Vorsicht Nepper, Schlepper, Bauernfaenger",2025-11-28,https://de.trustpilot.com/reviews/692995d5033d607e53ed31cf
27,1,Schlechter Service im Callcenter keine…,Schlechter Service im Callcenter keine Antwort,2025-11-28,https://de.trustpilot.com/reviews/692985d6d149c4f9e1413c36
28,3,Schnelles Aktivieren umstaendlich.,Schnelles Aktivieren umstaendlich.Weil fuer das Eingebe des Geburtstagsdatum auf Grund einer festen Voreinstellung des aktuellen Tages ein Zurueckblaettern in meinem Fall von 80x 12 Monaten notwendig war. Das voreingestellte Datum liess sich nicht einfach ueberschreiben.,2025-11-26,https://de.trustpilot.com/reviews/692746a4297aa8bf90ebfda3
29,5,Super einfache online Anmeldung,Super einfache online Anmeldung,2025-11-26,https://de.trustpilot.com/reviews/6926f1e51e7cb42b9d2ede7f
30,5,Einfache Registrierung in wenigen…,Einfache Registrierung in wenigen Schritten,2025-11-25,https://de.trustpilot.com/reviews/6926129602fc7f46ffa259be
31,5,schnelle telefonische Erreichbarkeit,No review text provided.,2025-11-25,https://de.trustpilot.com/reviews/6925c122f0b3463137f70a6e
32,5,Die wenigen bisherigen Streitfaelle…,"Die wenigen bisherigen Streitfaelle wurden anstandslos uebernommen und durch die Anwaelte (bis auf den Fall mit RA Christian Mergenthaler, Lindenberg, zu meiner vollen Zufriedenheit geloest.Dieser Rechtsanwalt ist ohne jegliche Information einfach verschwunden! Da konnte die OeRAG nichts dafuer!",2024-11-25,https://de.trustpilot.com/reviews/6925a4e62c103fa163fff687
33,1,Totale Schrott Versicherung,Totale Schrott Versicherung. Es ging um eine Rechtstreitigkeit beim kauf einer Immobilie. Von der Oerag ist in so einem Fall nichts versichert. Nichtmal der Erstbesuch eines Anwalts. Versicherung ist absolut nicht zu empfehlen.,2025-11-20,https://de.trustpilot.com/reviews/691ec6434a764462e6ac32d1
34,1,Update 18.11.2025:,"Update 18.11.2025:Nachdem die OeRAG erst mal von nichts wusste, wurde ich dann weitergeleitet an eine andere Abteilung. Ich hatte dort dann auch kundgetan, das ich im Prinzip ja auch gewillt bin die Summe zurueckzuzahlen, aber als Buergergeldempfaenger kann ich es z.Zt. nicht. Seit dem keine Nachrichten mehr von der OeRAG! Heute habe ich dann einen Mahnbescheid bekommen! wieder Mehrkosten! Wenn man schon am Boden liegt auch noch Nachtreten! Ich wuerde hier, wenn es ginge negativsterne verteilen! 1 Stern sind noch 10 zuviel!",2025-11-18,https://de.trustpilot.com/reviews/691c7f8dc7eb074b3fa910e7
