name,rating,title,text,date,review_url
Matthias,5,Kompetente Ansprechpartner in der Stadtsparkasse Dessau,Kompetente Ansprechpartner in der Sparkasse,7. Januar 2026,https://de.trustpilot.com/reviews/695e7754570b9ba5fbea84c0
vahit elma,1,ich nehme Bezug auf meine jüngsten…,"ich nehme Bezug auf meine jüngsten Erfahrungen mit Ihrem telefonischen Beratungsservice und sehe mich gezwungen, meine tiefe Unzufriedenheit auszudrücken.​Als Kunde einer Rechtsschutzversicherung erwarte ich in einer rechtlichen Notsituation eine fundierte, fachanwaltliche Erstberatung. Stattdessen war die Qualität der Gespräche katastrophal. Mein Eindruck war, dass ich nicht mit qualifizierten Juristen verbunden wurde, sondern mit studentischen Hilfskräften oder Personal ohne tiefergehende Fachkenntnisse. Die Auskünfte waren oberflächlich, wenig hilfreich und entsprachen in keiner Weise dem Standard, mit dem die ÖRAG (MEINRECHT) wirbt.​Darüber hinaus ist der allgemeine Kundenservice schwer erreichbar und wirkt in der Bearbeitung meiner Anliegen wenig professionell. Dass man als Versicherungsnehmer in schwierigen Momenten derart allein gelassen wird, ist für mich inakzeptabel.​Ich fordere Sie hiermit auf, die Qualität Ihres Telefon-Services sowie der rechtlichen Erstberatung umgehend zu prüfen. Ich behalte mir vor, meinen Vertrag aufgrund des gestörten Vertrauensverhältnisses zum nächstmöglichen Zeitpunkt zu kündigen und den Vorgang dem Versicherungsombudsmann zu melden.​Mit enttäuschten Grüßen,",4. Februar 2025,https://de.trustpilot.com/reviews/695e3ca8170d2dc403f4639e
G.Hermann,5,Schnelle Freigabe,"Schnelle Freigabe, kulante Bearbeitung",15. Oktober 2025,https://de.trustpilot.com/reviews/695bde0a54cbbcc82fa9f945
Jakob Schierstein,5,Super Service,Superschnellel Paßwortänderung,5. Januar 2026,https://de.trustpilot.com/reviews/695bd1e17a314da19fa3c350
Carlo Düllings,1,Lässt die Frist verstreichen und hilft nicht weiter,"Nach 3 Jahren Mitgliedschaft meldete ich meinen ersten Schadenfall. Es wurden mehrfach dieselben Informationen angefragt. Ich habe sie immer noch am gleichen Tag geliefert. Trotzdem bekam ich weder eine Rückmeldung noch eine Eingangsbestätigung. Erst als ich auf den Fristablauf hinwies, erhielt ich – basierend auf einem Fakt, den ich bereits bei der initialen Schadensmeldung (!) ca. 2 Wochen davor mitgeteilt hatte – die Ablehnung – 2 Tage vor Fristablauf. Den Sachverhalt konnte ich dadurch nicht mehr anders bearbeiten, so dass ich die nachteiligen Rechtsfolgen akzeptieren musste. Besser ich kümmere mich alleine um rechtliche Angelegenheiten, als durch falsche Hoffnung Fristen nicht mehr einhalten zu können und nachteilige Rechtsfolgen akzeptieren zu müssen.",12. Dezember 2025,https://de.trustpilot.com/reviews/69594a1ef436708368a81b02
Torsten Goerigk,5,Schnelle und glasklare Kommunikation,"Schnelle und glasklare Kommunikation, zahlreiche Rechtsservices für das tägliche Leben!",2. Januar 2026,https://de.trustpilot.com/reviews/6957908c125e14375601f46a
Wilhelm Erdbrügger,5,Schnelle und gute Bearbeitung,Sehr schnelle und gute Bearbeitung der Schadensmeldungen. Insgesamt gute Rechtsschutzversicherung.,2. Januar 2026,https://de.trustpilot.com/reviews/695784b4d25fd5b5494ccfa4
H. B.,1,MeinRecht nur eine Floskel,"Seit fast 10 Jahren bei der ÖRAG rechtsschutzversichert und nun zum ersten Mal eine Anwältin konsultiert, da vom Dienstherrn mehrere Schreiben wegen einer längerfristigen Erkrankung eingingen. Ein Zurruhesetzungsverfahren stand im Raum.Die Erstberatung wurde nicht übernommen mit der Begründung, es liege kein Streitfall vor. Auch alle weiteren möglichen Folgeschritte stehen laut ÖRAG unter demselben Vorbehalt.Für mich absolut unverständlich und enttäuschend. Günstigere Rechtsschutzversicherer übernehmen die Erstberatung grundsätzlich.Klare Empfehlung: Abstand halten.Die Kündigung wird aktuell erstellt.",10. Dezember 2025,https://de.trustpilot.com/reviews/69529eccdd584ccac3ea4f54
Björn Tribukait,2,Die Eingabe des Geburtsdatums,"Die Eingabe des Geburtsdatums ist eine Katastrophe. Warum kann man dsd Geburtsdatum nicht per Zahlen eingeben, sondern muss im Kalender 77 Jahre zurückscrollen, um zu seinem Geburtsdatum zu kommen?",28. Dezember 2025,https://de.trustpilot.com/reviews/69515c6015d2ade836054d91
Oliver Kirsten,1,ÖRAG unfähig eine  Kündigungsbestätigung zu versenden,"Eine mit Sicherheit der  schlechtesten Rechtsschutzversicherung Deutschlands:Kundenberatung Note 6Kundenbetreuung Note 6 minusDas Unternehmen ""Örag"" ist eine einzige farce.Seit dem 27.11.25 habe ich  per Telefon und schriftlich insgesamt  5 maliger Erinnerung per  Email  die Kündigung meiner Rechtsschutzversicherung bei  die ÖRAG eingereicht.Bis heute habe ich weder Antwort noch Bestätigung meiner  Kündigung bekommen!Seit 27 11.25 heißt es die Kündigung ist  eingegangen, aber wird einfach  seit Wochen!!!  nicht bearbeitet.Eine Schande deutscher Unternehmenskultur!Absolute Katastrophe und eine  Frechheit.Ich kann nur jedem abraten sich dort versichern. Versicherungswert = 0 !Auch hier bei Tmtrustpilot zeigt sich, wie  unseriös dieses  Unternehmen arbeite u d NICHT mit all den gerechtfertigten Beschwerden auseinandersetzt:Wie jeder  hier sieht, antwortet die ÖRAG größtenteils nur auf positive Bewertung, auf die waren Zustände die  dieses Unternehmens beschreiben, gibt es keine Antworten...VORSICHT!!!",27. November 2025,https://de.trustpilot.com/reviews/694e982167fdae72393d9891
Claire Braun,2,Die Digitalisierung ist bei Ihnen noch…,"Die Digitalisierung ist bei Ihnen noch nicht angekommen.Meine email-Adresse hatten Sie angeblich nicht, obwohl man sich mit der email-Adresse in mein recht.de einloggen muss.Ich möchte keine Briefpost mehr erhalten - nur entweder als mail oder in mein Postfach in mein recht.de. Wozu hat man ein Postfach, wenn man immer noch Briefe schickt?",23. Dezember 2025,https://de.trustpilot.com/reviews/694a794907457f643dcdfeb7
